Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue_lineage,cell_fraction,genetic_tag,treatment,strain,treatment_medium,treatment_length
SRR14530592,RNA-Seq,86,10296597164,PRJNA680481,SAMN19182458,4261826280,enteroendocrine,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX10875396,GSM5311369,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-06-30T00:00:00Z,2021-05-15T08:49:00Z,1,GSM5311369,Mouse enteroendocrine cells from the distal section of the intestine.,SRP293782,"Enteroendocrine, intestinal epithelium",Distal intestine,Neurog3Chrono,,C57BL/6,,
SRR14530593,RNA-Seq,86,8628296322,PRJNA680481,SAMN19182457,3582469962,enteroendocrine,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX10875397,GSM5311370,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-06-30T00:00:00Z,2021-05-15T08:45:00Z,1,GSM5311370,Mouse enteroendocrine cells from the medial section of the intestine.,SRP293782,"Enteroendocrine, intestinal epithelium",Medial intestine,Neurog3Chrono,,C57BL/6,,
SRR14530594,RNA-Seq,86,6595946730,PRJNA680481,SAMN19182495,2094360003,hTERT RPE-1,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX10875383,GSM5311356,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2021-05-15T08:25:00Z,1,GSM5311356,Interphase hTERT RPE1 FUCCI cells,SRP293782,"Retina, eye; pigmented epithelium",Interphase cells,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase treatment,,,
SRR14530595,RNA-Seq,86,7301040434,PRJNA680481,SAMN19182493,2415209814,hTERT RPE-1,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX10875384,GSM5311357,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2021-05-15T08:34:00Z,1,GSM5311357,Interphase hTERT RPE1 FUCCI cells,SRP293782,"Retina, eye; pigmented epithelium",Interphase cells,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase treatment,,,
SRR14530596,RNA-Seq,86,6632581354,PRJNA680481,SAMN19182492,2090401212,hTERT RPE-1,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX10875385,GSM5311358,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2021-05-15T08:32:00Z,1,GSM5311358,Interphase hTERT RPE1 FUCCI cells,SRP293782,"Retina, eye; pigmented epithelium",Interphase cells,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase treatment,,,
SRR14530597,RNA-Seq,86,6389895976,PRJNA680481,SAMN19182491,2005837983,hTERT RPE-1,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX10875386,GSM5311359,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2021-05-15T08:28:00Z,1,GSM5311359,Interphase hTERT RPE1 FUCCI cells,SRP293782,"Retina, eye; pigmented epithelium",Interphase cells,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase treatment,,,
SRR14530598,RNA-Seq,86,7855550288,PRJNA680481,SAMN19182466,2655372191,hTERT RPE-1,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX10875387,GSM5311360,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2021-05-15T08:34:00Z,1,GSM5311360,Interphase hTERT RPE1 FUCCI cells,SRP293782,"Retina, eye; pigmented epithelium",Interphase cells,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase treatment,,,
SRR14530599,RNA-Seq,86,9061187040,PRJNA680481,SAMN19182465,3133129559,hTERT RPE-1,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX10875388,GSM5311361,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2021-05-15T08:54:00Z,1,GSM5311361,Interphase hTERT RPE1 FUCCI cells,SRP293782,"Retina, eye; pigmented epithelium",Interphase cells,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase treatment,,,
SRR14530600,RNA-Seq,86,8633854846,PRJNA680481,SAMN19182463,2975252622,hTERT RPE-1,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX10875389,GSM5311362,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2021-05-15T08:48:00Z,1,GSM5311362,Interphase hTERT RPE1 FUCCI cells,SRP293782,"Retina, eye; pigmented epithelium",Interphase cells,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase treatment,,,
SRR14530601,RNA-Seq,86,8193473786,PRJNA680481,SAMN19182490,2847467857,hTERT RPE-1,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX10875390,GSM5311363,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2021-05-15T08:27:00Z,1,GSM5311363,Interphase hTERT RPE1 FUCCI cells,SRP293782,"Retina, eye; pigmented epithelium",Interphase cells,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase treatment,,,
